id,cohort,race,sex,asvab_wt,sci,arith,word,para,number,coding,auto,math,mech,elec,social,weight_custom,pc1_verb,pc2_math,pc3_mech,pc4_admin,pc1_verb_m,pc1_verb_f,pc2_math_m,pc2_math_f,pc3_mech_m,pc3_mech_f,pc4_admin_m,pc4_admin_f,social_m,social_f
3681,79,3,2,0,,,,,,,,,,,.14550029,404461,,,,,,,,,,,,,,.14550029
3682,79,3,2,545831,1.0591949,1.0120254,1.3342558,1.2913989,.29305437,.86414891,.72250146,1.1800836,.90874797,.73772514,1.352807,515164,2.1581442,1.6236886,1.217,.7834059,,2.1581442,,1.6236886,,1.217,,.7834059,,1.352807
3683,79,3,2,586893,1.3067839,1.717322,1.1713291,1.2905632,1.2121278,.36650169,.8290332,1.9964999,1.0491832,.78078794,1.0448002,493535,2.1183305,2.9768157,1.2954638,.74744982,,2.1183305,,2.9768157,,1.2954638,,.74744982,,1.0448002
3684,79,3,2,458983,1.7201716,2.0571675,1.4039395,1.4648607,1.4011823,1.197957,-.19758351,2.0114424,1.1191305,1.8757178,.37758672,443277,2.8617935,3.3052003,1.1097558,1.4146322,,2.8617935,,3.3052003,,1.1097558,,1.4146322,,.37758672
3685,79,3,1,631534,.12239437,1.1476239,.76394284,.71862495,1.3129805,.50941038,.094704837,1.5478913,.49434623,.8222152,.2745707,570388,1.0746441,2.2093701,.42008212,.98900098,1.0746441,,2.2093701,,.42008212,,.98900098,,.2745707,
3686,79,3,1,597206,.37581441,1.216226,.79029471,1.0642403,.72598046,.14011005,.42044431,.66143817,1.7980033,.43117014,.37905911,570732,1.1535372,1.8606657,1.2504345,.4262166,1.1535372,,1.8606657,,1.2504345,,.4262166,,.37905911,
3687,79,3,2,483070,.3757109,-.84073627,.7125299,.59637839,1.3367281,.53448319,-.59314847,.12257922,-.64395827,-.6310938,.24218121,443277,.83525681,-.13061006,-1.1737505,1.2193658,,.83525681,,-.13061006,,-1.1737505,,1.2193658,,.24218121
3688,79,3,2,509138,1.8138715,2.0067716,1.6948657,1.0335029,.795169,1.3008987,.81328297,2.2916985,1.0418317,1.5260372,1.3302675,443303,2.7619424,3.1113968,1.7483313,1.2063112,,2.7619424,,3.1113968,,1.7483313,,1.2063112,,1.3302675
3689,79,3,1,631534,1.4895453,1.717322,1.0801126,1.0203915,1.2121278,1.5538106,.64731658,1.9964999,2.0495763,1.1468314,1.1440394,570388,2.0058031,3.145978,1.9339373,1.6704372,2.0058031,,3.145978,,1.9339373,,1.6704372,,1.1440394,
3690,79,3,1,557869,2.0533164,2.0213974,1.2744312,1.1525201,.4354229,.045788281,1.0861397,2.1403399,.77530414,.83914602,1.6392796,523739,2.5166941,2.968169,1.536698,-.0025808874,2.5166941,,2.968169,,1.536698,,-.0025808874,,1.6392796,
3691,79,3,2,0,,,,,,,,,,,-2.2518411,104061,,,,,,,,,,,,,,-2.2518411
3692,79,2,2,140681,-.7028082,-1.2637991,-.10777992,-.7094565,-.4900268,.90942222,-1.2554966,-1.232713,-.19901448,-1.1347245,-.83658701,137561,-.99763286,-1.7912979,-1.3631929,.61958086,,-.99763286,,-1.7912979,,-1.3631929,,.61958086,,-.83658701
3693,79,3,1,679569,.52254826,-.082652368,.17832521,.15964282,-.4733752,-.14575328,1.6936461,-.64444911,.67798442,1.5388908,-.4075301,657835,.67862862,-.6063109,2.3338263,-.32658839,.67862862,,-.6063109,,2.3338263,,-.32658839,,-.4075301,
3694,79,3,1,995772,.87703025,.55015165,.31434616,.17002171,.38796943,.22859651,1.872867,.22998454,.9846406,.10647377,-.40491197,899359,.53016329,.68899482,1.98797,.38657632,.53016329,,.68899482,,1.98797,,.38657632,,-.40491197,
3695,79,2,1,144502,.9168812,.5481782,.37083864,.42648566,.89152318,1.3202538,-.51061052,-.33547074,.46540388,-.081672154,-.01558683,140317,.81999975,.49221796,-.044938322,1.4978817,.81999975,,.49221796,,-.044938322,,1.4978817,,-.01558683,
3696,79,2,2,146955,.0061053303,-.38732952,.42601565,1.3001872,.795169,.78374588,-1.5033406,-.38726988,-.57041031,-.7148537,1.1439896,140641,.94067711,-.26065961,-1.8541524,1.1635164,,.94067711,,-.26065961,,-1.8541524,,1.1635164,,1.1439896
3697,79,1,2,133240,-.78839576,.13289942,-.85847038,-.80593079,1.5079224,-1.1149304,-.45499673,-.68284309,-.11655102,.051118985,-1.0197304,127294,-1.4647186,.18568893,-.45685327,-.14102791,,-1.4647186,,.18568893,,-.45685327,,-.14102791,,-1.0197304
3698,79,1,2,181349,-.5533604,-.72822475,-.23136932,-.21939807,1.2027494,1.0576417,-1.1665782,-.57187939,-1.6683552,.29167783,-.29686621,172267,-.28173006,-.90346384,-1.640281,1.5742718,,-.28173006,,-.90346384,,-1.640281,,1.5742718,,-.29686621
3699,79,2,2,136616,-1.3309456,-1.1460434,-.66074103,-.51404762,1.141698,-.68309474,-.92657387,-.69661498,-1.604128,-.88674062,-.22339551,133297,-1.4292109,-1.1140313,-2.0708234,.19564946,,-1.4292109,,-1.1140313,,-2.0708234,,.19564946,,-.22339551
3700,79,1,1,135425,-.068713665,.79005319,.45524314,.78236312,.87885445,.16303565,.93460596,-.39284205,.6919533,.16118173,.96443713,117805,.57856959,.571145,.99457872,.67469668,.57856959,,.571145,,.99457872,,.67469668,,.96443713,
3701,79,1,1,0,,,,,,,,,,,1.4411592,94567,,,,,,,,,,,,,1.4411592,
3702,79,1,1,135425,.34326145,.27548125,.34817716,.6909945,-.0029391418,.01924767,-.035682302,.399286,.80984479,-.25380427,-1.7213835,117805,.63943744,.68966216,.21151219,-.0056422474,.63943744,,.68966216,,.21151219,,-.0056422474,,-1.7213835,
3703,79,2,2,196396,-1.0691154,-1.7115986,-1.6563815,-2.2216706,-.6764338,-.54681289,-.98813295,-1.5742128,-.86065823,-1.5984946,-.37929717,188010,-3.0970755,-2.4346874,-1.5744246,-.71015269,,-3.0970755,,-2.4346874,,-1.5744246,,-.71015269,,-.37929717
3704,79,2,2,146962,-1.4483404,-.84867823,-1.3527254,-.98124617,-.21985407,-1.1103214,-1.0631489,-.70946217,-1.5171595,-.84339136,-1.488914,143702,-2.1053936,-1.3011452,-1.9601952,-.94255441,,-2.1053936,,-1.3011452,,-1.9601952,,-.94255441,,-1.488914
3705,79,3,2,628938,-.2074129,.82009143,.79029471,1.3267881,.81635022,.97425985,-.077625416,-.16778614,1.0094401,.2406013,-.44695786,596151,1.0986072,.8364951,.38027596,1.2946112,,1.0986072,,.8364951,,.38027596,,1.2946112,,-.44695786
